source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,Herbs&spices,Kofta Mix 35grams,https://www.noon.com/egypt-en/kofta-mix-35grams/N48059454A/p/?o=c72dbf0896c7b40f,13.25,Maggi,35g  |  EGP 37.86/100g
noon,Grocery,Herbs&spices,Curry Powder 75grams,https://www.noon.com/egypt-en/curry-powder-75grams/N45183943A/p/?o=a74d823e3b4d6aac,47.25,Abu Auf,75g  |  EGP 63.00/100g
noon,Grocery,Herbs&spices,Aoi Japanese Pure Matcha – 100g,https://www.noon.com/egypt-en/aoi-japanese-pure-matcha-100g/Z8A9D32A3283FEA110355Z/p/?o=bb1fa88f762ffd6a,1350.00,AOI,100g  |  EGP 1350.00/100g
noon,Grocery,Herbs&spices,Sumac Powder 90g,https://www.noon.com/egypt-en/sumac-powder-90g/Z10B4F0B7CE520B3B5102Z/p/?o=b0e8e877887db9ce,76.75,Haj Arafa,90g  |  EGP 0.85/g
noon,Grocery,Herbs&spices,Turkish Thyme (Oregano) 50 gm,https://www.noon.com/egypt-en/turkish-thyme-oregano-50-gm/Z91CFD0CF0971CDA944E9Z/p/?o=z91cfd0cf0971cda944e9z-1,57.00,ZARY,50g  |  EGP 114.00/100g
noon,Grocery,Herbs&spices,Thyme 150G,https://www.noon.com/egypt-en/thyme-150g/Z4E5E0FF9A26C94FBD4C4Z/p/?o=z4e5e0ff9a26c94fbd4c4z-1,60.00,Haj Arafa,150g  |  EGP 40.00/100g
noon,Grocery,Herbs&spices,Cardamom seeds 60g,https://www.noon.com/egypt-en/cardamom-seeds-60g/ZF2C210CC1CCA1105CF3BZ/p/?o=c085e2a504f78a5d,295.00,Shana,60g  |  EGP 4.92/g
noon,Grocery,Herbs&spices,Star Anise 70gm,https://www.noon.com/egypt-en/star-anise-70gm/ZFCFE930DE6EB426B16ECZ/p/?o=zfcfe930de6eb426b16ecz-1,114.95,Imtenan,70g  |  EGP 1.64/g
noon,Grocery,Herbs&spices,Chicken Spices 35g,https://www.noon.com/egypt-en/chicken-spices-35g/Z74668D7422AA2D0039BBZ/p/?o=z74668d7422aa2d0039bbz-1,23.25,Abu Auf,35g  |  EGP 66.43/100g
noon,Grocery,Herbs&spices,Wafery Chamomile 50 gm,https://www.noon.com/egypt-en/wafery-chamomile-50-gm/Z10758AFEC72FF621CA93Z/p/?o=z10758afec72ff621ca93z-1,45.00,ZARY,50g  |  EGP 90.00/100g
