source,category,sub_category,product_name,product_link,price,brand,item_weight
noon,Grocery,oils,Sunflower Oil 2.25Liters,https://www.noon.com/egypt-en/sunflower-oil-2-25liters/N27711419A/p/?o=f27b6f9718bd9bad,212,Al-Asil,2.25L  |  EGP 94.22/L
noon,Grocery,oils,Corn Oil 2.2Liters,https://www.noon.com/egypt-en/corn-oil-2-2liters/N28863024A/p/?o=e700214a6d85ec2f,260,Crystal,2.2L  |  EGP 118.18/L
noon,Grocery,oils,Mixed Oil 2.1Liters,https://www.noon.com/egypt-en/mixed-oil-2-1liters/N27711429A/p/?o=d97d4006173b0e9c,170.5,Hedeya,2.1L  |  EGP 8.12/100ml
noon,Grocery,oils,Greek Extra Virgin Olive Oil 1000 ml,https://www.noon.com/egypt-en/greek-extra-virgin-olive-oil-1000-ml/Z59C7BE0562F2B1566CFBZ/p/?o=z59c7be0562f2b1566cfbz-1,999,GREEK,1000ml  |  EGP 99.90/100ml
noon,Grocery,oils,Natural Vinegar 1Liters,https://www.noon.com/egypt-en/natural-vinegar-1liters/N30522054A/p/?o=cb5bbd5bc416f03c,18,Rehana,1000ml  |  EGP 1.80/100ml
noon,Grocery,oils,Sunflower Oil 1.6Liters,https://www.noon.com/egypt-en/sunflower-oil-1-6liters/N27711266A/p/?o=c0d86fa07b12fd5d,161,Crystal,1.6L  |  EGP 100.62/L
noon,Grocery,oils,Corn Oil Spray 200ml,https://www.noon.com/egypt-en/corn-oil-spray-200ml/N30429819A/p/?o=a8cb826a3e91a6ff,35,Crystal,200ml  |  EGP 175.00/L
noon,Grocery,oils,Apple Cider Vinegar collection - Pack of 3 - 946 ml,https://www.noon.com/egypt-en/apple-cider-vinegar-collection-pack-of-3-946-ml/Z8914844ABC9C3ED0E686Z/p/?o=z8914844abc9c3ed0e686z-1,425,CALIFORNIA EGMONT,2.838L  |  EGP 14.98/100ml
noon,Grocery,oils,Saegh Organic apple cider vinegar 210 ml,https://www.noon.com/egypt-en/saegh-organic-apple-cider-vinegar-210-ml/Z411AAE7523A0247A0FDEZ/p/?o=z411aae7523a0247a0fdez-1,55,Saegh,210ml  |  EGP 26.19/100ml
noon,Grocery,oils,Extra Virgin Olive Oil 1 Litre,https://www.noon.com/egypt-en/extra-virgin-olive-oil-1-litre/ZCA607809AF6CCF86E40CZ/p/?o=d0f8198c3e24406a,790,Basso,
noon,Grocery,oils,Mixed Oil 1Liters,https://www.noon.com/egypt-en/mixed-oil-1liters/N27711428A/p/?o=c354e38f45fb817b,81.5,Hedeya,1000ml  |  EGP 8.15/100ml
noon,Grocery,oils,Corn Oil plus 2.2Liters,https://www.noon.com/egypt-en/corn-oil-plus-2-2liters/N44940201A/p/?o=e6096125a47ecb7b,249.95,Afia,2.2L  |  EGP 113.61/L
noon,Grocery,oils,Sunflower Oil 2.25Liters,https://www.noon.com/egypt-en/sunflower-oil-2-25liters/N27711426A/p/?o=fac2ff7430d4ddba,214.5,Halla,2.25L  |  EGP 95.33/L
noon,Grocery,oils,Corn Oil 3.5Liters,https://www.noon.com/egypt-en/corn-oil-3-5liters/N33645784A/p/?o=ae1fe569ae4de81b,399.95,Crystal,3.5L  |  EGP 114.27/L
noon,Grocery,oils,Sunflower Oil 2.2Liters,https://www.noon.com/egypt-en/sunflower-oil-2-2liters/N28863020A/p/?o=e32501858a770dca,224.95,Crystal,2.2L  |  EGP 102.25/L
noon,Grocery,oils,Mixed Oil 4.5Liters,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N27711434A/p/?o=cdcc90952e4552fa,356.95,Qaleya,4.5L  |  EGP 7.93/100ml
noon,Grocery,oils,Organic Fermented Apple Cider Vinegar 946ml,https://www.noon.com/egypt-en/organic-fermented-apple-cider-vinegar-946ml/Z51A970CAAC55D23A4D20Z/p/?o=z51a970caac55d23a4d20z-1,199,CALIFORNIA EGMONT,946ml  |  EGP 21.04/100ml
noon,Grocery,oils,Organic Apple Cider Vinegar 500ml,https://www.noon.com/egypt-en/organic-apple-cider-vinegar-500ml/N48665691A/p/?o=f3e74fb9ce3780de,177,VARVELLO,500ml  |  EGP 35.40/100ml
noon,Grocery,oils,Sunflower Oil 4.5L,https://www.noon.com/egypt-en/sunflower-oil-4-5l/ZBFC2421B010F07CCCACEZ/p/?o=zbfc2421b010f07cccacez-1,434.95,Helwa,4500ml  |  EGP 96.66/L
noon,Grocery,oils,Frying And Cooking Mixed Oil 1Liters,https://www.noon.com/egypt-en/frying-and-cooking-mixed-oil-1liters/N42554207A/p/?o=d93b0ca6c16cb87f,97,Helwa,1000ml  |  EGP 9.70/100ml
noon,Grocery,oils,SunFlower Oil 2.1Liters,https://www.noon.com/egypt-en/sunflower-oil-2-1liters/N28863155A/p/?o=eb59ffdee14b91fa,204.95,Slite,2.25L  |  EGP 91.09/L
noon,Grocery,oils,Frying And Cooking Mixed Oil 700ml,https://www.noon.com/egypt-en/frying-and-cooking-mixed-oil-700ml/N42554206A/p/?o=f0937c8e9953946a,74,Helwa,700ml  |  EGP 10.57/100ml
noon,Grocery,oils,Mixed Oil 4.5Liters,https://www.noon.com/egypt-en/mixed-oil-4-5liters/N28863089A/p/?o=e79499dbcdce585e,349.95,Helwa,4.5L  |  EGP 7.78/100ml
noon,Grocery,oils,Sunflower Oil 5Liters,https://www.noon.com/egypt-en/sunflower-oil-5liters/N27711268A/p/?o=e4c9e3cd434155de,484.95,Crystal,5L  |  EGP 96.99/L
noon,Grocery,oils,"Apple Cider Vinegar 473ml - Organic, unfiltered, with the mothers + Free pack of rice cake",https://www.noon.com/egypt-en/apple-cider-vinegar-473ml-organic-unfiltered-with-the-mothers-free-pack-of-rice-cake/ZE87C4A18481AF768650AZ/p/?o=a2f041f0e49b1cea,630,Bragg,473ml  |  EGP 133.19/100ml
noon,Grocery,oils,hot oil 210 ml,https://www.noon.com/egypt-en/hot-oil-210-ml/ZFAE47899427B98C5B9A5Z/p/?o=zfae47899427b98c5b9a5z-1,65,Saegh,210ml  |  EGP 30.95/100ml
noon,Grocery,oils,Sokradorf Virgin Olive Oil 250ml  Rich Natural Flavor High Quality Food Grade Bottle,https://www.noon.com/egypt-en/sokradorf-virgin-olive-oil-250ml-rich-natural-flavor-high-quality-food-grade-bottle/Z408AE587A89A54BA9A70Z/p/?o=d7d1c5f66560930b,225,sokradorf,250ml  |  EGP 90.00/100ml
noon,Grocery,oils,Frying And Cooking Mixed Oil 1Liters,https://www.noon.com/egypt-en/frying-and-cooking-mixed-oil-1liters/N52406605A/p/?o=b583bb7f97f65d3d,87.50,Haboba,1000ml  |  EGP 8.75/100ml
noon,Grocery,oils,Apple Cider Vinegar collection Pack of 2 pieces*946 ml,https://www.noon.com/egypt-en/apple-cider-vinegar-collection-pack-of-2-pieces-946-ml/ZB84C98F9F1FE64E48B6DZ/p/?o=zb84c98f9f1fe64e48b6dz-1,325.00,CALIFORNIA EGMONT,1.892L  |  EGP 17.18/100ml
noon,Grocery,oils,Ghee Plastic Jar (1.3 Kg) Yellow,https://www.noon.com/egypt-en/ghee-plastic-jar-1-3-kg-yellow/Z4DAE456AE12A2D29FF1BZ/p/?o=e7be080f5013abba,154.00,AGAB,1300g  |  EGP 11.85/100g
