source,category,sub_category,product_name,product_link,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count
noon,Grocery,Water,Gallon 18.9L,https://www.noon.com/egypt-en/gallon-18-9l/Z7958E694F7DBA203F837Z/p/,107.00,ELANO,18.9 Liters,,,,4.9,35
noon,Grocery,Water,Natural Mineral Water 500ml,https://www.noon.com/egypt-en/natural-mineral-water-500ml/Z2395EDA0BB7992FCDC50Z/p/,107.00,San Benedetto,500ml,,,,4,1
noon,Grocery,Water,Sparkling Water 330ml (Carton of 24 Bottles),https://www.noon.com/egypt-en/sparkling-water-330ml-carton-of-24-bottles/ZFF39F57AFC6E957C963DZ/p/,107.00,Perrier,330ml,,,,5,1
noon,Grocery,Water,Forever Lemon Citron Sparkling Water - 330 ml,https://www.noon.com/egypt-en/forever-lemon-citron-sparkling-water-330-ml/Z7B34B9D0553076D0D588Z/p/,107.00,Maison Perrier,330 ml,,,,5,1
noon,Grocery,Water,Prestige natural mineral water -Glass Bottle 500ml,https://www.noon.com/egypt-en/prestige-natural-mineral-water-glass-bottle-500ml/N52381921A/p/,107.00,San Benedetto,500 ml,,,,4.3,3
noon,Grocery,Water,Prestige Still Water - Glass Bottle 500ml,https://www.noon.com/egypt-en/prestige-still-water-glass-bottle-500ml/N52381923A/p/,107.00,San Benedetto,500 ml,,,,5.0,2
noon,Grocery,Water,Green Apple Flavoured Sparkling Drink - 350 ml,https://www.noon.com/egypt-en/green-apple-flavoured-sparkling-drink-350-ml/Z8A47686D79C657FDDE61Z/p/,107.00,Elisha,350 ml,,,,4,1
noon,Grocery,Water,Natural Drinking Water- 600 ml Pack of 12,https://www.noon.com/egypt-en/natural-drinking-water-600-ml-pack-of-12/ZA24D76B7F4B680CA5142Z/p/,107.00,ELANO,600 ml,12,12,,4.3,21
noon,Grocery,Water,Cherry Flavoured Sparkling Drink - 350 ml,https://www.noon.com/egypt-en/cherry-flavoured-sparkling-drink-350-ml/ZAD440AEF119C54D140E1Z/p/,107.00,Elisha,350 ml,,,,4.2,3
noon,Grocery,Water,Orange Blossom Water 250ml,https://www.noon.com/egypt-en/orange-blossom-water-250ml/N35958682A/p/,107.00,DOBELLA,250 ml,,,,4.2,12
noon,Grocery,Water,Rose Water 750ml,https://www.noon.com/egypt-en/rose-water-750ml/N12281275A/p/,107.00,Yamama,750 ml,,,,4.3,16
noon,Grocery,Water,Original Zamzam Water Pure & Blessed - 5L (Pack of 2 - Total 10L),https://www.noon.com/egypt-en/original-zamzam-water-pure-blessed-5l-pack-of-2-total-10l/Z7367F3B83922360DD142Z/p/,107.00,Zamzam Water,5L,2,2,,2,
noon,Grocery,Water,Natural Drinking Water 1.5Liters Pack of 12,https://www.noon.com/egypt-en/natural-drinking-water-1-5liters-pack-of-12/N44291604A/p/,107.00,ELANO,1.5 Liters,12,12,,4.5,409
noon,Grocery,Water,Sparkling Gold Apple Flavor Drink 350ml,https://www.noon.com/egypt-en/sparkling-gold-apple-flavor-drink-350ml/ZA6DB65874A9F52C370EDZ/p/,107.00,OKF,350 ml,,,,3.7,
noon,Grocery,Water,Perrier sparkling water citron & goyave 330 ml,https://www.noon.com/egypt-en/perrier-sparkling-water-citron-goyave-330-ml/ZDC435835CF6116D7A25EZ/p/,107.00,Maison Perrier,330 ml,,,,4.8,
noon,Grocery,Water,Natural Sparkling Mineral Water - 8 x 200ml Glass Bottles Pack,https://www.noon.com/egypt-en/natural-sparkling-mineral-water-8-x-200ml-glass-bottles-pack/Z55126CD72DC103007C07Z/p/,107.00,Perrier,200ml,,,,3.3,3
noon,Grocery,Water,Blossom Water With 250 ml,https://www.noon.com/egypt-en/blossom-water-with-250-ml/ZA733726F9B4DD8E9FD69Z/p/,107.00,SUN GARDEN,250 ml,,,,3.3,6
noon,Grocery,Water,Rose Water 300ml,https://www.noon.com/egypt-en/rose-water-300ml/N12281276A/p/,107.00,Yamama,300 ml,,,,4.3,15
noon,Grocery,Water,Zamzam Water 330ml – Pure Holy Water from Mecca | Single Bottle for Daily Drinking & Travel 2 pcs,https://www.noon.com/egypt-en/zamzam-water-330ml-pure-holy-water-from-mecca-single-bottle-for-daily-drinking-travel-2-pcs/ZFE26FA3390510955E63DZ/p/,107.00,Zamzam,330ml,2,2,,4.9,9
noon,Grocery,Water,Sparkling Natural Mineral Water Glass Bottle 330ml,https://www.noon.com/egypt-en/sparkling-natural-mineral-water-glass-bottle-330ml/ZE1BFEA3B82C0CF5C6B6EZ/p/,107.00,Evian,330 ml,,,,4.6,
noon,Grocery,Water,Sparkling Water With Peach & Cherry,https://www.noon.com/egypt-en/sparkling-water-with-peach-cherry/Z812EE2B57B33DB2EDFABZ/p/,107.00,Perrier,330 ml,,,,4.6,
noon,Grocery,Water,Water Gallon 18.9 Liters,https://www.noon.com/egypt-en/water-gallon-18-9-liters/ZDAB89681B076A04CB0A9Z/p/,107.00,ISIS,18.9 Liters,6,6,,4.4,
