sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,date,item_weight_grams
zd3ce280cf402b0f17c89z,noon,grocery,"creal,oats,jams&honey",arkan premium halva with extra walnuts – 500g | authentic middle eastern sesame sweet | traditional dessert egypt,250.0,arkan,500,1.0,2026-06-25,500.0
n13710064a,noon,grocery,"creal,oats,jams&honey",fruit muesli 350grams,168.25,sante,350,1.0,2026-06-25,350.0
z7d5adc5221bf351411d4z,noon,grocery,"creal,oats,jams&honey",Maxtella Chocolate Hazelnut Spread – 900 grams | Smooth hazelnut cocoa cream for breakfast and desserts,175.0,Max Tila,900,1.0,2026-06-25,900.0
zb375c232d32c8e5723caz,noon,grocery,"creal,oats,jams&honey",kind kids spread cream 350 gm,99.0,asmacup,350,1.0,2026-06-25,350.0
z579f028569fda55a06d1z,noon,grocery,"creal,oats,jams&honey",saegh whole grain oats 400g,80.0,saegh,400,1.0,2026-06-25,400.0
n42868005a,noon,grocery,"creal,oats,jams&honey",fit granola nuts and cocoa - no sugar added 300grams,208.25,sante,300,1.0,2026-06-25,300.0
n48663892a,noon,grocery,"creal,oats,jams&honey",high protein instant oatmeal the chocolate mocha 300grams,80.25,kayy,300,1.0,2026-06-25,300.0
zcd12cd88703751f4a0e7z,noon,grocery,"creal,oats,jams&honey",saegh black honey polyethylene 700 g,68.0,saegh,700,1.0,2026-06-25,700.0
z2cdca10c6ce1950e1c51z,noon,grocery,"creal,oats,jams&honey",sezar honey - 12 sachets x 18 grams,480.0,uni smart group,12,1.0,2026-06-25,12.0
n12280413a,noon,grocery,"creal,oats,jams&honey",granola fruit 350grams,186.25,sante,350,1.0,2026-06-25,350.0
n27747713a,noon,grocery,"creal,oats,jams&honey",crunchy fruits grain oat flake 350grams,149.0,sante,350,1.0,2026-06-25,350.0
z6cfb0eedfe09e8e86096z,noon,grocery,"creal,oats,jams&honey",saegh alfalfa blossom honey 450 gm,119.0,saegh,450,1.0,2026-06-25,450.0
z2519adea5027508c785az,noon,grocery,"creal,oats,jams&honey",hazelnut spread chocolate-350g,144.0,milkato,350,1.0,2026-06-25,350.0
z30d5a2a3b3cd4528c8efz,noon,grocery,"creal,oats,jams&honey",hazelnut chocolate spread sweetened with monkfruit - 250g,211.0,lakanto,250,1.0,2026-06-25,250.0
z636c8e176e4441665b72z,noon,grocery,"creal,oats,jams&honey",dark chocolate spread sweetened with monkfruit - 250g,211.0,lakanto,250,1.0,2026-06-25,250.0
z4be483981c4d41f0f3caz,noon,grocery,"creal,oats,jams&honey",mouni vip - 12 sachets x 16 grams - from uni smart group,225.0,uni smart group,12,1.0,2026-06-25,12.0
z6e7776360b944ddbd50ez,noon,grocery,"creal,oats,jams&honey",oat whole grain 500g,57.0,haj arafa,500,1.0,2026-06-25,500.0
z67e4983f4c7bb9be04b1z,noon,grocery,"creal,oats,jams&honey",maxtella chocolate hazelnut spread – 450g jar – rich creamy chocolate with premium hazelnuts,94.99,maxtella,450,1.0,2026-06-25,450.0
z5d5e063d2fe1c5d29d54z,noon,grocery,"creal,oats,jams&honey",saegh honey with nuts 250g,137.0,saegh,250,1.0,2026-06-25,250.0
zed330bb26a58f6584666z,noon,grocery,"creal,oats,jams&honey",healthy spread chocolate extra nuts with hazelnut pieces 375 gm,216.0,milkato,375,1.0,2026-06-25,375.0
n30328302a,noon,grocery,"creal,oats,jams&honey",whey protein oats 500grams,105.0,kayy,500,1.0,2026-06-25,500.0
za31487989356e91e27eez,noon,grocery,"creal,oats,jams&honey",speculoos biscuits spread 380 gm,171.0,milkato,380,1.0,2026-06-25,380.0
zff638991d748cb593f57z,noon,grocery,"creal,oats,jams&honey","chocolate spread from x spread with natural hazelnut pieces, 350 g.",90.0,mozn,350,1.0,2026-06-25,350.0
z6a8cacc9ad838d13ac9ez,noon,grocery,"creal,oats,jams&honey",healthy spread chocolate original with hazelnut 375 gm,200.0,milkato,375,1.0,2026-06-25,375.0
zc61df738357b6f3296c9z,noon,grocery,"creal,oats,jams&honey",crunchy peanut butter 320g,112.0,haj arafa,320,1.0,2026-06-25,320.0
z8784cb5db1ae8f4833dfz,noon,grocery,"creal,oats,jams&honey",beeswax 500 grams - 100% natural from uni smart group,145.0,uni smart group,500,1.0,2026-06-25,500.0
n28548504a,noon,grocery,"creal,oats,jams&honey",high fibre oats flakes 500grams,133.0,sante,500,1.0,2026-06-25,500.0
zb63feb5b966b98e7a90dz,noon,grocery,"creal,oats,jams&honey",citrus honey 2.2kg,687.0,imtenan,2,1.0,2026-06-25,2200.0
n42868104a,noon,grocery,"creal,oats,jams&honey",fruit rings 250grams,36.0,cornexi,250,1.0,2026-06-25,250.0
z3f874ebf1f408cb6907ez,noon,grocery,"creal,oats,jams&honey",peanut protein bar 70 grams,56.0,imtenan,70,1.0,2026-06-25,70.0
zd7fab2707a43241e364az,noon,grocery,"creal,oats,jams&honey",plain sesame halawa 250gm,37.0,halwani bros,250,1.0,2026-06-25,250.0
n51182038a,noon,grocery,"creal,oats,jams&honey",protein almond bar 70grams,94.0,abu auf,70,1.0,2026-06-25,70.0
z343d67bf71b0822adcc2z,noon,grocery,"creal,oats,jams&honey",rotus caramel and cinnamon biscuit sauce - dessert topping & syrup - 350g,99.99,rotus,350,1.0,2026-06-25,350.0
z8ebdb4e55c3020b9e4eez,noon,grocery,"creal,oats,jams&honey","abu auf peanut butter no added sugar , 330 gm",169.9,abu auf,330,1.0,2026-06-25,330.0
n35958675a,noon,grocery,"creal,oats,jams&honey",crunchy peanut butter 510grams,126.0,dobella,510,1.0,2026-06-25,510.0
zfbaa6308d770b54da4efz,noon,grocery,"creal,oats,jams&honey",luxury coconut and almond chocolate gift box - 15 pieces - 156g,690.0,ferrero,156,1.0,2026-06-25,156.0
z7d8121ea1810bfd73d47z,noon,grocery,"creal,oats,jams&honey",egyptian mountain sidr honey 2.2kg,1676.0,imtenan,2,1.0,2026-06-25,2200.0
z055a3289fbceff600906z,noon,grocery,"creal,oats,jams&honey",corn flakes 400 grams,83.0,imtenan,400,1.0,2026-06-25,400.0
zbe9ab769292239bdc2bbz,noon,grocery,"creal,oats,jams&honey",elhelwa plain sesame halawa 700g,121.25,halwani bros,700,1.0,2026-06-25,700.0
ze5677a7d35e3c270d968z,noon,grocery,"creal,oats,jams&honey",el mordjene - gourmet hazelnut spread - 700gm,699.75,el mordjene,700,1.0,2026-06-25,700.0
za84ee19dbdff8b30953ez,noon,grocery,"creal,oats,jams&honey",sesame halawa with pistachio 250g,90.0,halwani bros,250,1.0,2026-06-25,250.0
zed634aa5fc7c5324ddcfz,noon,grocery,"creal,oats,jams&honey",protein flex brownies pops 250g,76.0,real,250,1.0,2026-06-25,250.0
z2144cdaccda60fa77dfaz,noon,grocery,"creal,oats,jams&honey",bran flakes 400 grams,92.0,imtenan,400,1.0,2026-06-25,400.0
zb252f3214c55179fd316z,noon,grocery,"creal,oats,jams&honey",arkan halawa with chocolate – 400g sweet sesame dessert – authentic middle eastern confection,105.0,arkan,300,1.0,2026-06-25,300.0
n12280411a,noon,grocery,"creal,oats,jams&honey",tropical flavour muesli 350grams,136.0,sante,350,1.0,2026-06-25,350.0
z2e6f9211fa9db57ee875z,noon,grocery,"creal,oats,jams&honey","Luxurious natural mountain Sidr honey - 400 gm | Pure, healthy, authentic",550.0,unknown,1000,1.0,2026-06-25,1000.0
n29595074a,noon,grocery,"creal,oats,jams&honey",vitrac fig light jam 220grams,40.25,vitrac,220,1.0,2026-06-25,220.0
n42868058a,noon,grocery,"creal,oats,jams&honey",oat flakes 500grams,72.0,class a,500,1.0,2026-06-25,500.0
z6be59a081e5d6b7f1a38z,noon,grocery,"creal,oats,jams&honey",chocolate hazelnut crunchy spread 300g,106.0,el bawadi,300,1.0,2026-06-25,300.0
z3ec07756f9105745fab9z,noon,grocery,"creal,oats,jams&honey",squeez honey 1000g,230.0,saegh,1000,1.0,2026-06-25,1000.0
zc0acc66106703a4b3913z,noon,grocery,"creal,oats,jams&honey",toffee bites 225gm,82.0,real,225,1.0,2026-06-25,225.0
n35958674a,noon,grocery,"creal,oats,jams&honey",creamy peanut butter 510grams,126.0,dobella,510,1.0,2026-06-25,510.0
ze3e1cd3f48950b0f6608z,noon,grocery,"creal,oats,jams&honey",healthy matcha granola 275g,239.0,greenuts,275,1.0,2026-06-25,275.0
n29595072a,noon,grocery,"creal,oats,jams&honey",strawberry light jam 220grams,40.25,vitrac,220,1.0,2026-06-25,220.0
zd6a2986b2e7a18a67cd2z,noon,grocery,"creal,oats,jams&honey",asmacup peanut butter spread 900 gm,211.5,asmacup,900,1.0,2026-06-25,900.0
n42868074a,noon,grocery,"creal,oats,jams&honey",oats flour gluten free 500grams,143.25,healthy mill,500,1.0,2026-06-25,500.0
z145183cfaa081a8dbdb8z,noon,grocery,"creal,oats,jams&honey",keto bar almonds 60 grams,100.0,healthy & tasty,60,1.0,2026-06-25,60.0
ze791930f39178d9506edz,noon,grocery,"creal,oats,jams&honey",dubai filling kunafa & pistachio 1 kg,449.1,asmacup,1000,1.0,2026-06-25,1000.0
n28727425a,noon,grocery,"creal,oats,jams&honey",peanut butter with dark chocolate 330grams,173.25,abu auf,330,1.0,2026-06-25,330.0
z1ddab03a25d4d659be9fz,noon,grocery,"creal,oats,jams&honey",gold hazelnuts cream 350 gm,180.0,milkato,350,1.0,2026-06-25,350.0
z44f7310633693bd7ad3dz,noon,grocery,"creal,oats,jams&honey",imported ferrero rocher chocolate - 16 pieces - 200g - rich hazelnut flavour,495.0,ferrero,200,1.0,2026-06-25,200.0
z474ccc0f72deaa126622z,noon,grocery,"creal,oats,jams&honey",chocolate hazelnut spread 350g,108.0,asmacup,350,1.0,2026-06-25,350.0
zad6b876d43b1d47c3f8cz,noon,grocery,"creal,oats,jams&honey","max tilla hazelnut and chocolate spread savings bundle - 3 packs x 900g (total 2.7kg) - rich flavor & creamy texture, perfect for sandwiches, crepes and desserts",480.0,maxtella,2,1.0,2026-06-25,2700.0
z02d1837edabc2817543ez,noon,grocery,"creal,oats,jams&honey",pistachio spread cream 1 kg,585.0,asmacup,1000,1.0,2026-06-25,1000.0
n52906986a,noon,grocery,"creal,oats,jams&honey",greek honey 455grams,964.0,attiki,455,1.0,2026-06-25,455.0
n35958663a,noon,grocery,"creal,oats,jams&honey",oat flakes 500grams,72.0,mega foods,500,1.0,2026-06-25,500.0
zc750d224d5cf2f421655z,noon,grocery,"creal,oats,jams&honey",keto coconut chocolate bar 60 grams,100.0,healthy & tasty,60,1.0,2026-06-25,60.0
z44a8181c9ac111a8aafcz,noon,grocery,"creal,oats,jams&honey",asmacup white chocolate oreo spread 900 gm,202.5,asmacup,900,1.0,2026-06-25,900.0
