sku,source,category,sub_category,product_name,price,brand,item_weight,unit_count,number_of_items,package_weight,rating,rating_count,Unnamed: 4,date
N12280414A,noon,Grocery,"creal,oats,Jams&Honey",Peanut Butter Gronola Crispy Cereal Flakes 350grams,159.25,Sante,350g  |  EGP 45.50/100g,,,,,,,2026-06-25
Z42828349552AA91BC511Z,noon,Grocery,"creal,oats,Jams&Honey","Maxtella Raw Chocolate – Premium Cocoa, Special Offer, Baking & Desserts",59.99,Maxtella,180g  |  EGP 0.33/g,,,,,,,2026-06-25
ZE4DAAB162F53F36C1344Z,noon,Grocery,"creal,oats,Jams&Honey",Nutella Spread (350g)  Rich Cocoa and Hazelnut Cream,370.0,Nutella,350g  |  EGP 105.71/100g,,,,,,,2026-06-25
Z43362AAA47EE5298908AZ,noon,Grocery,"creal,oats,Jams&Honey",Oat Flakes Quick Cooking-600G,85.0,Organic Nation,600g  |  EGP 14.17/100g,,,,,,,2026-06-25
ZB0E453F008880C5D9D07Z,noon,Grocery,"creal,oats,Jams&Honey",Arkan Halawa Tehenia with Extra Pistachios - 500g - Premium Quality & Rich Taste,400.0,ARKAN,500g  |  EGP 80.00/100g,,,,,,,2026-06-25
Z407E2DA785C73C7EC709Z,noon,Grocery,"creal,oats,Jams&Honey",oats 500 grams,76.5,Ragab El Attar,500g  |  EGP 15.30/100g,,,,,,,2026-06-25
Z65F7BDA0DA4081EBEAD9Z,noon,Grocery,"creal,oats,Jams&Honey",Minis Cereals,86.0,Nesquik,,,,,,,,2026-06-25
Z45EC3A1FD3B5EA3559D4Z,noon,Grocery,"creal,oats,Jams&Honey",Choco Pillow Corn Flakes 250 grams,43.0,Cornexi,250g  |  EGP 17.20/100g,,,,,,,2026-06-25
N42868001A,noon,Grocery,"creal,oats,Jams&Honey",Gold Granola With Nuts And Honey 300grams,181.0,Sante,300g  |  EGP 60.33/100g,,,,,,,2026-06-25
ZD3CE280CF402B0F17C89Z,noon,Grocery,"creal,oats,Jams&Honey",Arkan Premium Halva with Extra Walnuts – 500g | Authentic Middle Eastern Sesame Sweet | Traditional Dessert Egypt,250.0,ARKAN,500g  |  EGP 14.17/oz,,,,,,,2026-06-25
