source,category,sub_category,product_link,product_name,brand,price,item_weight
noon,Beverages,juice,https://www.noon.com/egypt-en/oriental-qamar-eldin-1liters-single/N29595372A/p/?o=b1cb4b05ed1a637b,Oriental Qamar Eldin 1Liters  Single,Juhayna,45.50,1000ml  |  EGP 4.55/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/classic-apple-juice-1liters/N29595370A/p/?o=ba31c303df59160d,Classic Apple Juice 1Liters,Juhayna,35.50,1000ml  |  EGP 3.55/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/gold-sparkling-fruit-juice-red-grapes-750ml/N35958818A/p/?o=ae0bc8be0784e41e,Gold Sparkling Fruit Juice Red Grapes 750ml,may,196.25,750ml  |  EGP 26.17/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/sun-top-orange-fruit-drink-high-in-vitamin-c-refreshing-pack-of-6-cartons/Z4E45DCCCA8C47A116A22Z/p/?o=f509323ae285a84a,"Sun Top Orange Fruit Drink, High in Vitamin C, Refreshing, Pack of 6 Cartons",Generic,217.35,6 pieces  |  EGP 36.22/piece
noon,Beverages,juice,https://www.noon.com/egypt-en/natural-tamarind-powder-400g/Z635937C27E6D1D672B5EZ/p/?o=dc7f8778741a069e,Natural Tamarind Powder – 400g,Generic,120.00,400g  |  EGP 30.00/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/sobia-powder-with-added-coconut-essence-and-vanilla-800-grams/Z173B1893EDB2F8B1EB4AZ/p/?o=aef57f85a8a0556c,Sobia powder with added coconut essence and vanilla )800 grams(,Generic,200.00,2400g  |  EGP 8.33/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/turko-baba-mango-drink-300g/Z7383C3132A8C3338EE7BZ/p/?o=f0eb0d59b55c9f8e,TURKO BABA Mango Drink 300g,TURKO BABA,640.97,
noon,Beverages,juice,https://www.noon.com/egypt-en/old-sip-sobia/Z153318E5AEB3F88E0D6BZ/p/?o=b3d323cdd71ed2cb,Old Sip Sobia,Old Sip,299.90,
noon,Beverages,juice,https://www.noon.com/egypt-en/arizona-mucho-mango-fruit-juice-cocktail-650ml/ZCEB6D753C20834023C7AZ/p/?o=bd8aebf6028868bb,Arizona Mucho Mango Fruit Juice Cocktail (650ml),AriZona,480.00,650ml  |  EGP 0.74/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/arizona-orangeade-fruit-juice-cocktail-650ml/ZA4AE319C9D61137E2612Z/p/?o=c902ffe2a38a57cf,Arizona Orangeade Fruit Juice Cocktail 650ml,AriZona,480.00,650ml  |  EGP 0.74/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/trocobaba-blackberry-drink-300g/Z206845D6D506BD784366Z/p/?o=cad411cff7ae170e,Trocobaba Blackberry Drink – 300g,TURKO BABA,850.00,300g  |  EGP 2.83/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/arizona-watermelon-fruit-juice-cocktail-650ml/ZF01B13830E6959C1DF8FZ/p/?o=a1e398bb5e45c47e,Arizona Watermelon Fruit Juice Cocktail 650ml,AriZona,480.00,650ml  |  EGP 0.74/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/thai-coco-coconut-juice-with-pulp-520ml/ZB52FEDDAFF7639B274DBZ/p/?o=a034517ac1bfb4df,Thai Coco Coconut Juice With Pulp 520ml,Thai Coco,350.00,520ml  |  EGP 673.08/L
noon,Beverages,juice,https://www.noon.com/egypt-en/trocobaba-smooth-pineapple-drink-300g/Z6073FB27DD6824E82070Z/p/?o=ef2b72e22e2c65fb,Trocobaba Smooth Pineapple Drink – 300g,TURKO BABA,850.00,300g  |  EGP 2.83/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/trokobaba-fine-apple-drink-300g/Z7C2D066A8211FD4DFE3AZ/p/?o=e9811e93a089be8d,Trokobaba Fine Apple Drink 300g,TURKO BABA,663.08,300g  |  EGP 221.03/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/vimto-carbonated-drink-berries-flavor-330-ml/Z181691E9F4D3195E396AZ/p/?o=d0ec95f73e85518e,Vimto Carbonated Drink Berries Flavor - 330 ML,Vimto,288.00,330ml  |  EGP 87.27/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/10/ZCE57C7346A14084C0CB1Z/p/?o=a6a918908e7db84c,يلا سموزى بينا كولادا " جوزهند & اناناس" علبه 10 ساشيت,,150.00,10 pieces  |  EGP 15.00/piece
noon,Beverages,juice,https://www.noon.com/egypt-en/250/Z53A2DDDBB9C4050BD877Z/p/?o=ed68f1bcfaab706e,خروب قبرصي طبيعي – 250 جم,شانه,130.00,250g  |  EGP 52.00/100g
noon,Beverages,juice,https://www.noon.com/egypt-en/joystick-orange-nectar-200ml-x-27-natural-orange-juice-rich-in-vitamin-c-refreshing-taste/ZE690A9B09A5EF94985D4Z/p/?o=a8b964a3f88db38b,"Joystick Orange Nectar 200ml x 27 – Natural Orange Juice, Rich in Vitamin C, Refreshing Taste",Joystick,324.00,5.4L  |  EGP 6.00/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/joystick-apple-nectar-200ml-27-natural-apple-juice-rich-in-vitamin-c-refreshing-taste/Z5D0A1EA662DA4D64709BZ/p/?o=f6d83165c8acfdaa,"Joystick Apple Nectar 200ml × 27 – Natural Apple Juice. Rich in Vitamin C, Refreshing Taste",Joystick,324.00,5.4L  |  EGP 6.00/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/carob-juice-1liters/N29595482A/p/?o=a3a75616d593694c,Carob Juice 1Liters,ISIS,76.00,1000ml  |  EGP 7.60/100ml
noon,Beverages,juice,https://www.noon.com/egypt-en/tamarind-juice-300g/ZC917F690A410B7FCAC88Z/p/?o=zc917f690a410b7fcac88z-1,Tamarind Juice 300g,BONA,79.25,300g  |  EGP 26.42/100g
